line_id	text	tokens_space
90	ويقتل اي المسلم المكلف الطاهر حدا بضرب عنقه ان اخرجها اي المكتوبه	ويقتل اي المسلم المكلف الطاهر حدا بضرب عنقه ان اخرجها اي المكتوبه
91	عامدا عن وقت جمع لها ان كان كسلا مع اعتقاد وجوبها ان لم يتب بعد	عامدا عن وقت جمع لها ان كان كسلا مع اعتقاد وجوبها ان لم يتب بعد
92	الاستتابه وعلي ندب الاستتابه	الاستتابه وعلي ندب الاستتابه
93	ويبادر بفائت ويسن ترتيبه وتقديمه علي حاضره ,	ويبادر بفائت ويسن ترتيبه وتقديمه علي حاضره ,
94	لا يضمن من قتله قبل التوبه لكنه	لا يضمن من قتله قبل التوبه لكنه
95	ياثم ويقتل كفرا ان تركها جاحدا وجوبها فلا يغسل ولا يصلي عليه .	ياثم ويقتل كفرا ان تركها جاحدا وجوبها فلا يغسل ولا يصلي عليه .
96	ويبادر من مر بفائت1 وجوبا ان فات بلا عذر فيلزمه القضاء فورا . قال شيخنا	ويبادر من مر بفائت1 وجوبا ان فات بلا عذر فيلزمه القضاء فورا . قال شيخنا
97	احمد بن حجر رحمه الله تعالي : والذي يظهر انه يلزمه صرف جميع زمنه للقضاء	احمد بن حجر رحمه الله تعالي : والذي يظهر انه يلزمه صرف جميع زمنه للقضاء
98	ما عدا ما يحتاج لصرفه فيما لا بد منه وانه يحرم عليه التطوع . انتهي .	ما عدا ما يحتاج لصرفه فيما لا بد منه وانه يحرم عليه التطوع . انتهي .
99	ويبادر به ندبا ان فات بعذر كنوم لم يتعد به ونسيان كذلك .	ويبادر به ندبا ان فات بعذر كنوم لم يتعد به ونسيان كذلك .
100	ويسن ترتيبه اي الفائت فيقضي الصبح قبل الظهر وهكذا .	ويسن ترتيبه اي الفائت فيقضي الصبح قبل الظهر وهكذا .
101	وتقديمه علي حاضره لا يخاف فوتها ان فات بعذر وان خشي فوت جماعتها ms003 علي	وتقديمه علي حاضره لا يخاف فوتها ان فات بعذر وان خشي فوت جماعتها ms003 علي
102	المعتمد .	المعتمد .
103	واذا فات بلا عذر فيجب تقديمه عليها اما اذا خاف فوت الحاضره بان يقع	واذا فات بلا عذر فيجب تقديمه عليها اما اذا خاف فوت الحاضره بان يقع
104	بعضها وان قل خارج الوقت فيلزمه البدء بها ويجب تقديم ما فات بغير عذر علي	بعضها وان قل خارج الوقت فيلزمه البدء بها ويجب تقديم ما فات بغير عذر علي
105	ما فات بعذر وان فقد الترتيب لانه سنه والبدار واجب .	ما فات بعذر وان فقد الترتيب لانه سنه والبدار واجب .
106	ويندب تاخير الرواتب عن الفوائت بعذر ويجب تاخيرها عن الفوائت بغير عذر .	ويندب تاخير الرواتب عن الفوائت بعذر ويجب تاخيرها عن الفوائت بغير عذر .
107	تنبيه من مات وعليه صلاه فرض لم تقض ولم تفد عنه وفي PageV01P037	تنبيه من مات وعليه صلاه فرض لم تقض ولم تفد عنه وفي PageV01P037
108	ويؤمر مميز بها لسبع ويضرب عليها لعشر كصوم اطاقه ,	ويؤمر مميز بها لسبع ويضرب عليها لعشر كصوم اطاقه ,
109	قول انها تفعل عنه اوصي بها ام لا	قول انها تفعل عنه اوصي بها ام لا
110	ما حكاه العبادي عن الشافعي لخبر فيه [ راجع البخاري رقم : 1952 , مسلم رقم :	ما حكاه العبادي عن الشافعي لخبر فيه [ راجع البخاري رقم : 1952 , مسلم رقم :
111	1147 , ابو داود رقم : 2400 , 3311 , مسند احمد رقم : 23880 , ] وفعل به السبكي عن	1147 , ابو داود رقم : 2400 , 3311 , مسند احمد رقم : 23880 , ] وفعل به السبكي عن
112	بعض اقاربه [ راجع الفائده في باب الصوم صفحه 272 , وراجع صفحه : 433 ] .	بعض اقاربه [ راجع الفائده في باب الصوم صفحه 272 , وراجع صفحه : 433 ] .
113	ويؤمر ذو صبا ذكر او انثي مميز بان صار ياكل ويشرب ويستنجي وحده اي يجب	ويؤمر ذو صبا ذكر او انثي مميز بان صار ياكل ويشرب ويستنجي وحده اي يجب
114	علي كل من ابويه وان علا ثم الوصي . وعلي مالك الرقيق ان يامر بها اي الصلاه	علي كل من ابويه وان علا ثم الوصي . وعلي مالك الرقيق ان يامر بها اي الصلاه
115	ولو قضاء وبجميع شروطها لسبع اي بعد سبع من السنين اي عند تمامها وان ميز	ولو قضاء وبجميع شروطها لسبع اي بعد سبع من السنين اي عند تمامها وان ميز
116	قبلها . وينبغي مع صيغه الامر التهديد ويضرب ضربا غير مبرح وجوبا ممن ذكر	قبلها . وينبغي مع صيغه الامر التهديد ويضرب ضربا غير مبرح وجوبا ممن ذكر
117	عليها اي علي تركها ولو قضاء او ترك شرط من شروطها لعشر اي بعد استكمالها	عليها اي علي تركها ولو قضاء او ترك شرط من شروطها لعشر اي بعد استكمالها
118	للحديث الصحيح : مروا الصبي بالصلاه اذا بلغ سبع سنين واذا بلغ عشر سنين	للحديث الصحيح : مروا الصبي بالصلاه اذا بلغ سبع سنين واذا بلغ عشر سنين
119	فاضربوه عليها [ رواه الترمذي رقم : 407 , وابو داود رقم : 494 , والدارمي رقم :	فاضربوه عليها [ رواه الترمذي رقم : 407 , وابو داود رقم : 494 , والدارمي رقم :
120	1431 , والحاكم في المستدرك رقم : 948 , 1 / 389 ] , كصوم اطاقه فانه يؤمر به	1431 , والحاكم في المستدرك رقم : 948 , 1 / 389 ] , كصوم اطاقه فانه يؤمر به
121	لسبع ويضرب عليه لعشر كالصلاه .	لسبع ويضرب عليه لعشر كالصلاه .
122	وحكمه ذلك التمرين علي العباده ليتعودها فلا يتركها .	وحكمه ذلك التمرين علي العباده ليتعودها فلا يتركها .
123	وبحث الاذرعي في قن صغير كافر نطق بالشهادتين انه يؤمر ندبا بالصلاه	وبحث الاذرعي في قن صغير كافر نطق بالشهادتين انه يؤمر ندبا بالصلاه
124	والصوم يحث عليهما من غير ضرب ليالف الخير بعد بلوغه	والصوم يحث عليهما من غير ضرب ليالف الخير بعد بلوغه
125	واول واجب علي الاباء تعليمه ان نبينا محمدا صلي الله	واول واجب علي الاباء تعليمه ان نبينا محمدا صلي الله
126	عليه وسلم بعث بمكه ودفن بالمدينه .	عليه وسلم بعث بمكه ودفن بالمدينه .
127	وان ابي القياس ذلك . انتهي .	وان ابي القياس ذلك . انتهي .
128	ويجب ايضا علي من مر نهيه عن المحرمات وتعليمه الواجبات ونحوها من سائر	ويجب ايضا علي من مر نهيه عن المحرمات وتعليمه الواجبات ونحوها من سائر
129	الشرائع الظاهره ولو سنه كسواك وامره بذلك ولا ينتهي وجوب ما ms004 مر علي من مر	الشرائع الظاهره ولو سنه كسواك وامره بذلك ولا ينتهي وجوب ما ms004 مر علي من مر
130	الا ببلوغه رشيدا واجره تعليمه ذلك كالقران والاداب في ماله ثم علي ابيه ثم	الا ببلوغه رشيدا واجره تعليمه ذلك كالقران والاداب في ماله ثم علي ابيه ثم
131	علي امه .	علي امه .
132	تنبيه ذكر السمعاني في زوجه صغيره ذات ابوين ان وجوب ما مر عليهما فالزوج	تنبيه ذكر السمعاني في زوجه صغيره ذات ابوين ان وجوب ما مر عليهما فالزوج
133	وقضيته وجوب ضربها .	وقضيته وجوب ضربها .
134	وبه ولو في الكبيره صرح جمال الاسلام ابن البزري1 قال شيخنا : وهو ظاهر ان	وبه ولو في الكبيره صرح جمال الاسلام ابن البزري1 قال شيخنا : وهو ظاهر ان
135	لم يخش نشوزا واطلق الزركشي الندب .	لم يخش نشوزا واطلق الزركشي الندب .
136	واول واجب حتي علي الامر بالصلاه كما قالوا علي الاباء ثم علي مر من	واول واجب حتي علي الامر بالصلاه كما قالوا علي الاباء ثم علي مر من
137	تعليمه اي المميز ان نبينا محمدا ص بعث بمكه وولد بها ودفن بالمدينه ومات	تعليمه اي المميز ان نبينا محمدا ص بعث بمكه وولد بها ودفن بالمدينه ومات
138	بها . PageV01P039	بها . PageV01P039
139	| فصل في شروط الصلاه	| فصل في شروط الصلاه
140	شروط الصلاه خمسه :	شروط الصلاه خمسه :
141	احدها : طهاره عن حدث وجنابه .	احدها : طهاره عن حدث وجنابه .
142	فالاولي : الوضوء .	فالاولي : الوضوء .
143	وشروطه كشروط الغسل 1 - ماء مطلق	وشروطه كشروط الغسل 1 - ماء مطلق
144	فصل في شروط الصلاه .	فصل في شروط الصلاه .
145	الشرط ما يتوقف عليه صحه الصلاه وليس منها وقدمت الشروط علي الاركان	الشرط ما يتوقف عليه صحه الصلاه وليس منها وقدمت الشروط علي الاركان
146	لانها اولي بالتقديم اذ الشرط ما يجب تقديمه علي الصلاه واستمراره فيها .	لانها اولي بالتقديم اذ الشرط ما يجب تقديمه علي الصلاه واستمراره فيها .
147	شروط الصلاه خمسه :	شروط الصلاه خمسه :
148	احدها : طهاره عن حدث وجنابه الطهاره : لغه النظافه والخلوص من الدنس	احدها : طهاره عن حدث وجنابه الطهاره : لغه النظافه والخلوص من الدنس
149	وشرعا : رفع المنع المترتب علي الحدث او النجس .	وشرعا : رفع المنع المترتب علي الحدث او النجس .
150	فالاولي : اي الطهاره عن الحدث : الوضوء هو بضم الواو استعمال الماء في	فالاولي : اي الطهاره عن الحدث : الوضوء هو بضم الواو استعمال الماء في
151	اعضاء مخصوصه مفتتحا بنيه .	اعضاء مخصوصه مفتتحا بنيه .
152	وبفتحها : ما يتوضا به وكان ابتداء وجوبه مع ابتداء وجو ب المكتوبه ليله	وبفتحها : ما يتوضا به وكان ابتداء وجوبه مع ابتداء وجو ب المكتوبه ليله
153	الاسراء .	الاسراء .
154	وشروطه اي الوضوء كشروط الغسل خمسه :	وشروطه اي الوضوء كشروط الغسل خمسه :
155	| 1 -	| 1 -
156	احدها : ماء مطلق فلا يرفع الحدث ولا يزيل النجس ولا يحصل	احدها : ماء مطلق فلا يرفع الحدث ولا يزيل النجس ولا يحصل
157	غير مستعمل في رفع حدث ونجس قليلا ,	غير مستعمل في رفع حدث ونجس قليلا ,
158	سائر الطهاره ولو مسنونه الا الماء	سائر الطهاره ولو مسنونه الا الماء
159	المطلق وهو ما يقع عليه اسم الماء بلا قيد .	المطلق وهو ما يقع عليه اسم الماء بلا قيد .
160	وان رشح من بخار الماء الطهور المغلي او استهلك فيه الخليط او قيد	وان رشح من بخار الماء الطهور المغلي او استهلك فيه الخليط او قيد
161	بموافقه الواقع كماء البحر .	بموافقه الواقع كماء البحر .
162	بخلاف ما لا يذكر الا مقيدا كماء الورد .	بخلاف ما لا يذكر الا مقيدا كماء الورد .
163	غير مستعمل في فرض طهاره من رفع حدث اصغر او اكبر ولو من طهر حنفي لم ينو	غير مستعمل في فرض طهاره من رفع حدث اصغر او اكبر ولو من طهر حنفي لم ينو
164	او صبي لم يميز لطواف وازاله نجس ولو معفوا عنه .	او صبي لم يميز لطواف وازاله نجس ولو معفوا عنه .
165	قليلا اي حال كون المستعمل قليلا اي دون القلتين فان جمع المستعمل فبلغ	قليلا اي حال كون المستعمل قليلا اي دون القلتين فان جمع المستعمل فبلغ
166	قلتين فمطهر كما لو جمع المتنجس فبلغ قلتين ولم يتغير وان ms005 قل بعد بتفريقه .	قلتين فمطهر كما لو جمع المتنجس فبلغ قلتين ولم يتغير وان ms005 قل بعد بتفريقه .
167	فعلم ان الاستعمال لا يثبت الا مع قله الماء اي وبعد فصله عن المحل	فعلم ان الاستعمال لا يثبت الا مع قله الماء اي وبعد فصله عن المحل
168	المستعمل ولو حكما كان جاوز منكب المتوضئ او ركبته وان عاد لمحله او انتقل	المستعمل ولو حكما كان جاوز منكب المتوضئ او ركبته وان عاد لمحله او انتقل
169	من يد لاخري .	من يد لاخري .
170	نعم لا يضر في المحدث انفصال الماء من الكف الي الساعد ولا في الجنب	نعم لا يضر في المحدث انفصال الماء من الكف الي الساعد ولا في الجنب
171	انفصاله من الراس الي نحو الصدر مما يغلب فيه التقاذف .	انفصاله من الراس الي نحو الصدر مما يغلب فيه التقاذف .
172	* * *	* * *
173	ومتغير كثيرا بخليط طاهر غني عنه	ومتغير كثيرا بخليط طاهر غني عنه
174	فرع لو ادخل المتوضئ يده1 بقصد	فرع لو ادخل المتوضئ يده1 بقصد
175	الغسل عن الحدث اولا بقصد بعد نيه الجنب او تثليث وجه المحدث او بعد الغسله	الغسل عن الحدث اولا بقصد بعد نيه الجنب او تثليث وجه المحدث او بعد الغسله
176	الاولي ان قصد الاقتصار عليها بلا نيه اغتراف ولا قصد اخذ الماء لغرض اخر	الاولي ان قصد الاقتصار عليها بلا نيه اغتراف ولا قصد اخذ الماء لغرض اخر
177	صار مستعملا بالنسبه لغير يده فله ان يغسل بما فيها باقي ساعدها .	صار مستعملا بالنسبه لغير يده فله ان يغسل بما فيها باقي ساعدها .
178	وغير متغير تغيرا كثيرا بحيث يمنع اطلاق اسم الماء عليه بان تغير احد	وغير متغير تغيرا كثيرا بحيث يمنع اطلاق اسم الماء عليه بان تغير احد
179	صفاته من طعم او لون او ريح ولو تقديريا او كان التغير بما علي عضو المتطهر	صفاته من طعم او لون او ريح ولو تقديريا او كان التغير بما علي عضو المتطهر
180	في الاصح وانما يؤثر التغير ان كان بخليط اي مخالطا	في الاصح وانما يؤثر التغير ان كان بخليط اي مخالطا
181	للماء وهو ما لا يتميز في راي العين طاهر وقد غني الماء عنه كزعفران وثمر	للماء وهو ما لا يتميز في راي العين طاهر وقد غني الماء عنه كزعفران وثمر
182	شجر نبت قرب الماء وورق طرح ثم تفتت لا تراب وملح ماء وان طرحا فيه .	شجر نبت قرب الماء وورق طرح ثم تفتت لا تراب وملح ماء وان طرحا فيه .
183	ولا يضر تغير لا يمنع الاسم لقلته ولو احتمالا بان شك اهو كثير او قليل .	ولا يضر تغير لا يمنع الاسم لقلته ولو احتمالا بان شك اهو كثير او قليل .
184	وخرج بقولي بخليط المجاور وهو ما يتميز للناظر كعود ودهن ولو مطيبين ومنه	وخرج بقولي بخليط المجاور وهو ما يتميز للناظر كعود ودهن ولو مطيبين ومنه
185	البخور وان كثر وظهر نحو ريحه PageV01P042	البخور وان كثر وظهر نحو ريحه PageV01P042
186	خلافا لجمع ومنه ايضا ماء اغلي فيه نحو بر وتمر حيث	خلافا لجمع ومنه ايضا ماء اغلي فيه نحو بر وتمر حيث
187	لم يعلم او بنجس ولو كان كثيرا ,	لم يعلم او بنجس ولو كان كثيرا ,
188	انفصال عين فيه مخالطه بان لم يصل	انفصال عين فيه مخالطه بان لم يصل
189	الي حد بحيث له اسم اخر كالمرقه ولو شك في شيء امخالط هو ام مجاور له حكم	الي حد بحيث له اسم اخر كالمرقه ولو شك في شيء امخالط هو ام مجاور له حكم
190	المجاور .	المجاور .
191	وبقولي غني عنه ما لا يستغني عنه كما في مقره وممره من نحو طين وطحلب	وبقولي غني عنه ما لا يستغني عنه كما في مقره وممره من نحو طين وطحلب
192	متفتت وكبريت وكالتغير بطول المكث او باوراق متناثره بنفسها وان تفتتت	متفتت وكبريت وكالتغير بطول المكث او باوراق متناثره بنفسها وان تفتتت
193	وبعدت الشجره عن الماء .	وبعدت الشجره عن الماء .
194	او بنجس وان قل التغير ولو كان الماء كثيرا اي قلتين او اكثر ms006 في صورتي	او بنجس وان قل التغير ولو كان الماء كثيرا اي قلتين او اكثر ms006 في صورتي
195	التغيير بالطاهر والنجس .	التغيير بالطاهر والنجس .
196	والقلتان بالوزن : خمسمائه رطل بغدادي تقريبا وبالمساحه في المربع : ذراع	والقلتان بالوزن : خمسمائه رطل بغدادي تقريبا وبالمساحه في المربع : ذراع
197	وربع طولا وعرضا وعمقا بذراع اليد المعتدله وفي المدور : ذراع من سائر	وربع طولا وعرضا وعمقا بذراع اليد المعتدله وفي المدور : ذراع من سائر
198	الجوانب بذراع الادمي وذراعان عمقا بذراع النجار وهو ذراع وربع1 .	الجوانب بذراع الادمي وذراعان عمقا بذراع النجار وهو ذراع وربع1 .
199	ولا تنجس قلتا ماء ولو احتمالا كان شك في ماء ابلغهما ام لا وان تيقنت	ولا تنجس قلتا ماء ولو احتمالا كان شك في ماء ابلغهما ام لا وان تيقنت
200	قلته قبل بملاقاه نجس ما لم يتغير به وان استهلكت النجاسه فيه ولا يجب	قلته قبل بملاقاه نجس ما لم يتغير به وان استهلكت النجاسه فيه ولا يجب
